lastYearRptDt,lastYearEPS,time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,epsForecast_num,lastYearEPS_num,noOfEsts_num,queryDate
12/06/2024,$0.10,time-pre-market,SNYR,Synergy CHC Corp.,"$20,731,538",Sep/2025,$0.01,1,0.01,0.1,1.0,2025-11-13
N/A,($0.22),time-pre-market,NXPL,NextPlat Corp,"$20,508,214",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.45),time-not-supplied,COSM,Cosmos Health Inc.,"$20,391,345",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.02),time-not-supplied,NCRA,"Nocera, Inc.","$19,970,879",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.09),time-not-supplied,DLPN,"Dolphin Entertainment, Inc.","$19,367,245",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.30),time-not-supplied,LNAI,Lunai Bioworks Inc.,"$19,332,326",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,$0.53,time-not-supplied,HTCR,"Heartcore Enterprises, Inc.","$19,210,406",Sep/2025,$0.02,1,0.02,0.53,1.0,2025-11-13
11/14/2024,$0.10,time-not-supplied,GTEC,Greenland Technologies Holding Corporation,"$19,046,677",Sep/2025,,N/A,,0.1,,2025-11-13
N/A,($0.16),time-not-supplied,BNAI,Brand Engagement Network Inc.,"$19,029,457",Sep/2025,,1,,,1.0,2025-11-13
N/A,N/A,time-not-supplied,IQST,iQSTEL Inc.,"$18,974,224",Sep/2025,($0.41),1,,,1.0,2025-11-13
N/A,($0.99),time-not-supplied,MGRX,"Mangoceuticals, Inc.","$18,964,424",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.10),time-not-supplied,KAPA,"Kairos Pharma, Ltd.","$17,993,142",Sep/2025,($0.10),1,,,1.0,2025-11-13
11/14/2024,($7.71),time-not-supplied,ALLR,"Allarity Therapeutics, Inc.","$17,982,152",Sep/2025,($0.23),1,,,1.0,2025-11-13
11/14/2024,($0.40),time-not-supplied,VVOS,"Vivos Therapeutics, Inc.","$17,711,345",Sep/2025,($0.50),1,,,1.0,2025-11-13
11/14/2024,($0.16),time-not-supplied,ELBM,Electra Battery Materials Corporation,"$17,705,256",Sep/2025,,N/A,,,,2025-11-13
N/A,N/A,time-not-supplied,CJMB,Callan JMB Inc.,"$17,453,764",Sep/2025,,1,,,1.0,2025-11-13
N/A,($99.99),time-not-supplied,HIND,"Vyome Holdings, Inc.","$16,617,895",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.41),time-not-supplied,CARV,"Carver Bancorp, Inc.","$15,940,615",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.37),time-not-supplied,COCH,"Envoy Medical, Inc.","$15,606,980",Sep/2025,($0.27),2,,,2.0,2025-11-13
N/A,($8.81),time-not-supplied,TRAW,"Traws Pharma, Inc.","$15,540,424",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,$55,time-not-supplied,HCTI,"Healthcare Triangle, Inc.","$15,337,710",Sep/2025,($0.22),1,,55.0,1.0,2025-11-13
11/14/2024,($0.12),time-not-supplied,AIRI,Air Industries Group,"$14,697,618",Sep/2025,($0.22),1,,,1.0,2025-11-13
11/07/2024,($0.32),time-after-hours,CODX,"Co-Diagnostics, Inc.","$14,600,438",Sep/2025,($0.19),1,,,1.0,2025-11-13
11/14/2024,($0.80),time-not-supplied,CMMB,Chemomab Therapeutics Ltd. ,"$13,860,173",Sep/2025,($0.20),1,,,1.0,2025-11-13
N/A,N/A,time-not-supplied,KIDZ,"Classover Holdings, Inc.","$13,655,875",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.63),time-not-supplied,BTCT,BTC Digital Ltd.,"$13,575,824",Sep/2025,,N/A,,,,2025-11-13
N/A,N/A,time-not-supplied,PPCB,"Propanc Biopharma, Inc.","$13,575,152",Sep/2025,,1,,,1.0,2025-11-13
N/A,$0.04,time-not-supplied,TAIT,Taitron Components Incorporated,"$13,126,172",Sep/2025,,1,,0.04,1.0,2025-11-13
N/A,($1.77),time-not-supplied,ORBS,Eightco Holdings Inc.,"$13,092,399",Sep/2025,,1,,,1.0,2025-11-13
N/A,($1.80),time-not-supplied,IPW,iPower Inc.,"$13,059,388",Sep/2025,,1,,,1.0,2025-11-13
N/A,N/A,time-not-supplied,OSRH,"OSR Holdings, Inc.","$12,996,545",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.16),time-not-supplied,PLAG,Planet Green Holdings Corp,"$12,744,750",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.16),time-not-supplied,PMNT,Perfect Moment Ltd.,"$12,652,919",Sep/2025,,1,,,1.0,2025-11-13
N/A,($6.30),time-not-supplied,MNTS,Momentus Inc.,"$12,216,083",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.26),time-not-supplied,MRKR,"Marker Therapeutics, Inc.","$11,672,191",Sep/2025,($0.69),1,,,1.0,2025-11-13
N/A,N/A,time-not-supplied,XHLD,"TEN Holdings, Inc.","$11,524,571",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($5.80),time-not-supplied,SNSE,"Sensei Biotherapeutics, Inc.","$10,947,997",Sep/2025,($4.11),1,,,1.0,2025-11-13
11/14/2024,($0.97),time-not-supplied,PHGE,BiomX Inc.,"$10,772,759",Sep/2025,($0.32),1,,,1.0,2025-11-13
N/A,($0.61),time-not-supplied,GXAI,Gaxos.ai Inc.,"$10,613,945",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.04),time-not-supplied,MSN,Emerson Radio Corporation,"$10,519,222",Sep/2025,,1,,,1.0,2025-11-13
N/A,($3.63),time-after-hours,TNON,"Tenon Medical, Inc.","$10,388,687",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.53),time-not-supplied,RVYL,Ryvyl Inc.,"$10,195,556",Sep/2025,($0.13),1,,,1.0,2025-11-13
N/A,N/A,time-not-supplied,CEPO,"Cantor Equity Partners I, Inc.","$9,949,127",Sep/2025,,1,,,1.0,2025-11-13
N/A,($7.60),time-not-supplied,AQMS,"Aqua Metals, Inc.","$9,940,455",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($1.54),time-not-supplied,PHIO,Phio Pharmaceuticals Corp.,"$9,334,603",Sep/2025,($0.45),2,,,2.0,2025-11-13
N/A,N/A,time-not-supplied,POLA,"Polar Power, Inc.","$9,292,668",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.42),time-not-supplied,MYSE,"Myseum, Inc.","$9,218,431",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.92),time-not-supplied,OLB,"The OLB Group, Inc.","$9,118,857",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.25),time-after-hours,ATER,"Aterian, Inc.","$8,986,594",Sep/2025,,1,,,1.0,2025-11-13
N/A,($21.68),time-not-supplied,YHC,LQR House Inc.,"$8,713,439",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.22),time-not-supplied,VS,Versus Systems Inc.,"$8,626,952",Sep/2025,,1,,,1.0,2025-11-13
N/A,N/A,time-not-supplied,MITQ,"Moving iMage Technologies, Inc.","$8,464,121",Sep/2025,,1,,,1.0,2025-11-13
N/A,$0.03,time-not-supplied,MTR,Mesa Royalty Trust,"$8,292,976",Sep/2025,,1,,0.03,1.0,2025-11-13
11/13/2024,($0.54),time-pre-market,PAVM,PAVmed Inc.,"$8,251,162",Sep/2025,($0.21),1,,,1.0,2025-11-13
11/14/2024,($19.16),time-after-hours,BNGO,"Bionano Genomics, Inc.","$7,957,700",Sep/2025,($1.81),1,,,1.0,2025-11-13
N/A,($99.99),time-not-supplied,RNAZ,"TransCode Therapeutics, Inc.","$7,919,989",Sep/2025,,1,,,1.0,2025-11-13
N/A,($17.50),time-not-supplied,TGL,Treasure Global Inc.,"$7,426,367",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($1.80),time-not-supplied,GP,GreenPower Motor Company Inc.,"$7,419,987",Sep/2025,($1.50),1,,,1.0,2025-11-13
N/A,$4,time-not-supplied,HCWB,HCW Biologics Inc.,"$7,315,464",Sep/2025,,1,,4.0,1.0,2025-11-13
N/A,($0.30),time-not-supplied,IPDN,"Professional Diversity Network, Inc.","$7,274,078",Sep/2025,,1,,,1.0,2025-11-13
N/A,N/A,time-not-supplied,PFSA,"Profusa, Inc.","$6,744,672",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.02),time-not-supplied,BENF,Beneficient,"$6,656,604",Sep/2025,($0.25),2,,,2.0,2025-11-13
11/12/2024,$0.20,time-after-hours,CWD,CaliberCos Inc.,"$6,556,828",Sep/2025,($0.32),1,,0.2,1.0,2025-11-13
N/A,($0.55),time-not-supplied,GIPR,Generation Income Properties Inc.,"$6,205,234",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($21.92),time-not-supplied,NWTG,"Newton Golf Company, Inc.","$6,131,861",Sep/2025,($0.19),1,,,1.0,2025-11-13
N/A,($0.11),time-not-supplied,ONFO,Onfolio Holdings Inc.,"$5,691,410",Sep/2025,,1,,,1.0,2025-11-13
N/A,($1.37),time-not-supplied,ASTI,"Ascent Solar Technologies, Inc","$5,668,644",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.29),time-not-supplied,CYCN,"Cyclerion Therapeutics, Inc.","$5,640,267",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.70),time-not-supplied,TCRT,"Alaunos Therapeutics, Inc.","$5,531,251",Sep/2025,,1,,,1.0,2025-11-13
N/A,($99.99),time-not-supplied,GCTK,"GlucoTrack, Inc.","$5,468,413",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.09),time-not-supplied,SGN,"Signing Day Sports, Inc.","$5,368,982",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.13),time-not-supplied,ATXG,Addentax Group Corp.,"$5,342,199",Sep/2025,,1,,,1.0,2025-11-13
N/A,($99.99),time-not-supplied,QCLS,"Q/C Technologies, Inc.","$5,280,809",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.99),time-not-supplied,XWEL,"XWELL, Inc.","$5,181,033",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.09),time-not-supplied,ASNS,"Actelis Networks, Inc.","$5,179,693",Sep/2025,($0.13),1,,,1.0,2025-11-13
11/14/2024,($4.65),time-not-supplied,SXTP,"60 Degrees Pharmaceuticals, Inc.","$5,171,631",Sep/2025,,N/A,,,,2025-11-13
N/A,($2.71),time-not-supplied,INM,InMed Pharmaceuticals Inc.,"$4,851,242",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.39),time-not-supplied,BKYI,"BIO-key International, Inc.","$4,773,756",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.80),time-not-supplied,EVTV,"Envirotech Vehicles, Inc.","$4,766,237",Sep/2025,,1,,,1.0,2025-11-13
N/A,($99.99),time-not-supplied,SUNE,"SUNation Energy, Inc.","$4,564,863",Sep/2025,,1,,,1.0,2025-11-13
N/A,($99.99),time-not-supplied,GNLN,"Greenlane Holdings, Inc.","$4,478,560",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($99.99),time-not-supplied,ACON,"Aclarion, Inc.","$4,367,783",Sep/2025,($2.64),1,,,1.0,2025-11-13
N/A,($10.60),time-not-supplied,MOVE,Movano Inc.,"$4,341,522",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,$6,time-not-supplied,AIM,AIM ImmunoTech Inc.,"$4,333,901",Sep/2025,($0.98),1,,6.0,1.0,2025-11-13
11/14/2024,($23.03),time-not-supplied,XPON,Expion360 Inc.,"$4,308,653",Sep/2025,,N/A,,,,2025-11-13
N/A,($4.70),time-not-supplied,QLGN,"Qualigen Therapeutics, Inc.","$4,272,534",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($11.39),time-not-supplied,GRI,"GRI Bio, Inc.","$4,200,559",Sep/2025,($1.11),1,,,1.0,2025-11-13
N/A,($99.99),time-not-supplied,STSS,Sharps Technology Inc.,"$4,010,999",Sep/2025,,1,,,1.0,2025-11-13
N/A,($2.47),time-after-hours,NVVE,Nuvve Holding Corp.,"$3,962,369",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.30),time-not-supplied,IMCC,IM Cannabis Corp.,"$3,949,379",Sep/2025,,1,,,1.0,2025-11-13
N/A,($14.08),time-pre-market,VERO,Venus Concept Inc. ,"$3,922,750",Sep/2025,,1,,,1.0,2025-11-13
N/A,($99.99),time-not-supplied,CNSP,"CNS Pharmaceuticals, Inc.","$3,792,228",Sep/2025,,1,,,1.0,2025-11-13
N/A,($39.60),time-not-supplied,NAOV,"NanoVibronix, Inc.","$3,785,513",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.46),time-not-supplied,AMZE,"Amaze Holdings, Inc.","$3,753,373",Sep/2025,,1,,,1.0,2025-11-13
N/A,($2.61),time-not-supplied,SGD,Safe and Green Development Corporation,"$3,683,492",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($0.64),time-not-supplied,MYSZ,"My Size, Inc.","$3,647,682",Sep/2025,,N/A,,,,2025-11-13
11/14/2024,($14.22),time-not-supplied,BBLG,Bone Biologics Corp,"$3,608,473",Sep/2025,($1.23),1,,,1.0,2025-11-13
N/A,($99.99),time-not-supplied,CDT,CDT Equity Inc.,"$3,299,973",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.26),time-not-supplied,IVDA,"Iveda Solutions, Inc.","$3,284,600",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.20),time-not-supplied,XRTX,XORTX Therapeutics Inc.,"$3,252,624",Sep/2025,,1,,,1.0,2025-11-13
N/A,($13.64),time-not-supplied,NITO,"N2OFF, Inc.","$3,002,076",Sep/2025,,1,,,1.0,2025-11-13
N/A,($43.20),time-not-supplied,ENVB,"Enveric Biosciences, Inc. ","$2,954,293",Sep/2025,,1,,,1.0,2025-11-13
N/A,($4.80),time-not-supplied,BIAF,"bioAffinity Technologies, Inc.","$2,796,481",Sep/2025,,1,,,1.0,2025-11-13
N/A,($2.31),time-not-supplied,GLMD,Galmed Pharmaceuticals Ltd.,"$2,687,512",Sep/2025,,1,,,1.0,2025-11-13
N/A,($3.91),time-not-supplied,TIVC,"Tivic Health Systems, Inc.","$2,501,797",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.27),time-not-supplied,SGLY,Singularity Future Technology Ltd.,"$2,478,799",Sep/2025,,1,,,1.0,2025-11-13
N/A,$4,time-not-supplied,SBLX,"StableX Technologies, Inc.","$2,424,682",Sep/2025,,1,,4.0,1.0,2025-11-13
11/14/2024,N/A,time-not-supplied,TRUG,"TruGolf Holdings, Inc.","$2,411,213",Sep/2025,($0.45),1,,,1.0,2025-11-13
N/A,($0.27),time-not-supplied,WORX,SCWorx Corp.,"$2,216,951",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($1.53),time-not-supplied,GTBP,"GT Biopharma, Inc.","$2,198,536",Sep/2025,($0.38),1,,,1.0,2025-11-13
N/A,($99.99),time-not-supplied,SLXN,Silexion Therapeutics Corp,"$2,194,926",Sep/2025,,1,,,1.0,2025-11-13
N/A,($0.50),time-not-supplied,AIHS,Senmiao Technology Limited,"$1,717,884",Sep/2025,,1,,,1.0,2025-11-13
N/A,($11.39),time-not-supplied,SLRX,"Salarius Pharmaceuticals, Inc.","$1,631,059",Sep/2025,,1,,,1.0,2025-11-13
N/A,($1.96),time-not-supplied,PTIX,"Protagenic Therapeutics, Inc.","$1,266,270",Sep/2025,,1,,,1.0,2025-11-13
11/14/2024,($21.60),time-after-hours,SLE,"Super League Enterprise, Inc.","$1,261,310",Sep/2025,($2.83),1,,,1.0,2025-11-13
N/A,($82.28),time-not-supplied,MSPR,"MSP Recovery, Inc.","$934,193",Sep/2025,,1,,,1.0,2025-11-13
11/08/2024,$0.37,time-not-supplied,SONY,Sony Group Corporation,"$168,157,814,053",Sep/2025,$0.33,2,0.33,0.37,2.0,2025-11-14
11/08/2024,$2.12,time-not-supplied,UI,Ubiquiti Inc.,"$45,943,327,639",Sep/2025,$2.45,1,2.45,2.12,1.0,2025-11-14
11/08/2024,$0.56,time-not-supplied,IX,ORIX Corporation,"$28,329,760,264",Sep/2025,,N/A,,0.56,,2025-11-14
N/A,$1.89,time-not-supplied,FRHC,Freedom Holding Corp.,"$8,594,300,421",Sep/2025,,1,,1.89,1.0,2025-11-14
11/08/2024,$1.49,time-not-supplied,CIB,Grupo Cibest S.A.,"$7,398,362,037",Sep/2025,$1.84,2,1.84,1.49,2.0,2025-11-14
11/20/2024,($0.54),time-pre-market,SR,Spire Inc.,"$5,218,407,323",Sep/2025,($0.46),6,,,6.0,2025-11-14
11/08/2024,($1.05),time-not-supplied,AKRO,"Akero Therapeutics, Inc.","$4,321,804,319",Sep/2025,($0.94),5,,,5.0,2025-11-14
11/13/2024,($0.75),time-pre-market,ABTC,American Bitcoin Corp.,"$4,215,848,970",Sep/2025,,N/A,,,,2025-11-14
N/A,$114.77,time-not-supplied,BH,Biglari Holdings Inc.,"$4,021,316,179",Sep/2025,,1,,114.77,1.0,2025-11-14
N/A,$114.77,time-not-supplied,BH.A,Biglari Holdings Inc.,"$4,021,316,179",Sep/2025,,1,,114.77,1.0,2025-11-14
N/A,N/A,time-pre-market,LGN,Legence Corp.,"$3,896,268,862",Sep/2025,$0.03,1,0.03,,1.0,2025-11-14
N/A,$0.02,time-pre-market,RLX,RLX Technology Inc.,"$3,722,773,651",Sep/2025,,1,,0.02,1.0,2025-11-14
11/12/2024,($0.66),time-pre-market,SRRK,Scholar Rock Holding Corporation,"$2,696,369,783",Sep/2025,($0.88),8,,,8.0,2025-11-14
11/06/2024,($0.06),time-after-hours,QUBT,Quantum Computing Inc.,"$2,191,998,494",Sep/2025,($0.05),1,,,1.0,2025-11-14
N/A,$1.20,time-not-supplied,NHC,National HealthCare Corporation,"$1,893,126,260",Sep/2025,,1,,1.2,1.0,2025-11-14
11/18/2024,($0.59),time-pre-market,TWST,Twist Bioscience Corporation,"$1,814,449,406",Sep/2025,($0.40),2,,,2.0,2025-11-14
11/08/2024,($0.36),time-not-supplied,IE,Ivanhoe Electric Inc.,"$1,665,195,553",Sep/2025,($0.21),1,,,1.0,2025-11-14
N/A,$0.21,time-not-supplied,PSEC,Prospect Capital Corporation,"$1,192,846,106",Sep/2025,,1,,0.21,1.0,2025-11-14
11/08/2024,$0.45,time-not-supplied,ECO,Okeanis Eco Tankers Corp.,"$1,072,707,679",Sep/2025,$0.29,1,0.29,0.45,1.0,2025-11-14
11/08/2024,($0.25),time-not-supplied,SANA,"Sana Biotechnology, Inc.","$986,896,967",Sep/2025,($0.18),6,,,6.0,2025-11-14
N/A,($0.71),time-not-supplied,CRESY,Cresud S.A.C.I.F. y A.,"$731,362,456",Sep/2025,,1,,,1.0,2025-11-14
11/14/2024,($0.23),time-pre-market,SGML,Sigma Lithium Corporation,"$524,918,770",Sep/2025,($0.09),2,,,2.0,2025-11-14
11/08/2024,($0.37),time-not-supplied,MNPR,Monopar Therapeutics Inc.,"$510,317,474",Sep/2025,($0.48),5,,,5.0,2025-11-14
12/23/2024,($0.13),time-after-hours,VENU,Venu Holding Corporation,"$507,115,286",Sep/2025,($0.21),1,,,1.0,2025-11-14
11/08/2024,$0.56,time-not-supplied,IMXI,"International Money Express, Inc.","$444,073,448",Sep/2025,$0.50,2,0.5,0.56,2.0,2025-11-14
11/13/2024,$0.03,time-pre-market,SBC,SBC Medical Group Holdings Incorporated,"$339,691,691",Sep/2025,$0.13,2,0.13,0.03,2.0,2025-11-14
N/A,($8.50),time-pre-market,ETHZ,ETHZilla Corporation,"$254,418,827",Sep/2025,,1,,,1.0,2025-11-14
11/08/2024,($0.33),time-not-supplied,HUMA,"Humacyte, Inc.","$231,223,373",Sep/2025,($0.17),2,,,2.0,2025-11-14
N/A,$0.01,time-not-supplied,TG,Tredegar Corporation,"$222,265,875",Sep/2025,,1,,0.01,1.0,2025-11-14
N/A,$33.44,time-not-supplied,NEN,New England Realty Associates Limited Partnership,"$200,306,060",Sep/2025,,1,,33.44,1.0,2025-11-14
N/A,N/A,time-pre-market,ARAI,Arrive AI Inc.,"$160,504,654",Sep/2025,,1,,,1.0,2025-11-14
11/06/2024,$0.34,time-after-hours,MDV,"Modiv Industrial, Inc.","$146,279,578",Sep/2025,$0.34,2,0.34,0.34,2.0,2025-11-14
N/A,($0.03),time-not-supplied,NEOV,NeoVolta Inc.,"$136,171,075",Sep/2025,,1,,,1.0,2025-11-14
11/08/2024,($0.08),time-not-supplied,ENTX,Entera Bio Ltd.,"$127,857,467",Sep/2025,($0.09),1,,,1.0,2025-11-14
N/A,$0.01,time-not-supplied,ULBI,Ultralife Corporation,"$114,175,192",Sep/2025,,1,,0.01,1.0,2025-11-14
11/08/2024,($0.50),time-not-supplied,PROP,Prairie Operating Co.,"$96,030,491",Sep/2025,$0.28,2,0.28,,2.0,2025-11-14
N/A,($0.60),time-not-supplied,NAMM,Namib Minerals,"$90,178,081",Sep/2025,,1,,,1.0,2025-11-14
11/08/2024,($0.60),time-not-supplied,ATLX,Atlas Lithium Corporation,"$86,358,706",Sep/2025,,N/A,,,,2025-11-14
N/A,$2.04,time-not-supplied,DIT,AMCON Distributing Company,"$76,164,516",Sep/2025,,1,,2.04,1.0,2025-11-14
11/08/2024,($0.33),time-not-supplied,IFRX,InflaRx N.V.,"$75,376,672",Sep/2025,($0.16),4,,,4.0,2025-11-14
11/13/2024,($0.01),time-after-hours,FORA,Forian Inc.,"$70,313,825",Sep/2025,($0.04),1,,,1.0,2025-11-14
N/A,($0.45),time-not-supplied,DOMH,Dominari Holdings Inc.,"$69,086,155",Sep/2025,,1,,,1.0,2025-11-14
11/14/2024,($1.53),time-after-hours,DFLI,Dragonfly Energy Holdings Corp,"$64,810,823",Sep/2025,($0.71),1,,,1.0,2025-11-14
N/A,($0.12),time-pre-market,AMPG,"Amplitech Group, Inc.","$64,189,616",Sep/2025,,1,,,1.0,2025-11-14
11/12/2024,($15.50),time-pre-market,PIII,P3 Health Partners Inc.,"$60,804,913",Sep/2025,,N/A,,,,2025-11-14
N/A,$0.10,time-not-supplied,SELF,"Global Self Storage, Inc.","$56,464,440",Sep/2025,,1,,0.1,1.0,2025-11-14
N/A,$0.01,time-not-supplied,FSEA,"First Seacoast Bancorp, Inc.","$54,690,226",Sep/2025,,1,,0.01,1.0,2025-11-14
N/A,$0.32,time-not-supplied,OPHC,"OptimumBank Holdings, Inc.","$47,298,105",Sep/2025,,1,,0.32,1.0,2025-11-14
11/08/2024,$29,time-not-supplied,LNZA,"LanzaTech Global, Inc.","$44,769,245",Sep/2025,($12.42),1,,29.0,1.0,2025-11-14
11/08/2024,($0.97),time-not-supplied,ANVS,"Annovis Bio, Inc.","$36,828,977",Sep/2025,($0.36),1,,,1.0,2025-11-14
N/A,$0.19,time-not-supplied,UG,"United-Guardian, Inc.","$32,481,376",Sep/2025,,1,,0.19,1.0,2025-11-14
N/A,($0.23),time-not-supplied,NXL,"Nexalin Technology, Inc.","$24,036,742",Sep/2025,,1,,,1.0,2025-11-14
N/A,$0.03,time-not-supplied,CKX,"CKX Lands, Inc.","$20,839,259",Sep/2025,,1,,0.03,1.0,2025-11-14
11/08/2024,($2.09),time-not-supplied,MBRX,"Moleculin Biotech, Inc.","$15,043,140",Sep/2025,($0.20),2,,,2.0,2025-11-14
N/A,($0.50),time-not-supplied,YHGJ,Yunhong Green CTI Ltd.,"$13,564,185",Sep/2025,,1,,,1.0,2025-11-14
N/A,($0.22),time-not-supplied,BFRG,"Bullfrog AI Holdings, Inc.","$10,988,661",Sep/2025,,1,,,1.0,2025-11-14
N/A,$0.47,time-not-supplied,AWX,Avalon Holdings Corporation,"$10,294,498",Sep/2025,,1,,0.47,1.0,2025-11-14
N/A,$2,time-not-supplied,MBIO,"Mustang Bio, Inc.","$9,194,350",Sep/2025,,1,,2.0,1.0,2025-11-14
N/A,($0.33),time-pre-market,SOWG,Sow Good Inc.,"$8,804,658",Sep/2025,,1,,,1.0,2025-11-14
11/08/2024,($0.81),time-not-supplied,KPRX,"Kiora Pharmaceuticals, Inc. ","$8,137,374",Sep/2025,($0.72),1,,,1.0,2025-11-14
11/08/2024,($0.75),time-not-supplied,CELZ,"Creative Medical Technology Holdings, Inc.","$7,354,516",Sep/2025,($0.48),1,,,1.0,2025-11-14
N/A,N/A,time-not-supplied,GIG,GigCapital7 Corp.,"$6,156,250",Sep/2025,,1,,,1.0,2025-11-14
11/14/2024,($4.60),time-after-hours,BNZI,"Banzai International, Inc.","$6,155,352",Sep/2025,($1.33),2,,,2.0,2025-11-14
11/08/2024,($0.78),time-not-supplied,SNGX,"Soligenix, Inc.","$5,742,664",Sep/2025,($0.63),1,,,1.0,2025-11-14
N/A,($1.68),time-not-supplied,VIVS,"VivoSim Labs, Inc.","$5,719,553",Sep/2025,,1,,,1.0,2025-11-14
11/08/2024,($2.47),time-not-supplied,AMIX,"Autonomix Medical, Inc.","$4,675,895",Sep/2025,,N/A,,,,2025-11-14
N/A,($99.99),time-not-supplied,CMCT,Creative Media ,"$3,803,219",Sep/2025,,1,,,1.0,2025-11-14
11/14/2024,($15.30),time-pre-market,TRNR,Interactive Strength Inc.,"$3,712,846",Sep/2025,,N/A,,,,2025-11-14
N/A,($0.30),time-not-supplied,CREG,Smart Powerr Corp.,"$3,303,919",Sep/2025,,1,,,1.0,2025-11-14
11/08/2024,($40.32),time-not-supplied,REVB,"Revelation Biosciences, Inc.","$1,869,601",Sep/2025,($1.34),2,,,2.0,2025-11-14
